geneName family
PGSC0003DMT400015538 25
PGSC0003DMT400039109 25
PGSC0003DMT400041350 25
PGSC0003DMT400049019 25
PGSC0003DMT400054193 25
PGSC0003DMT400060535 25
PGSC0003DMT400060547 25
PGSC0003DMT400060712 25
PGSC0003DMT400060715 25
PGSC0003DMT400060719 25
PGSC0003DMT400060766 25
PGSC0003DMT400060777 25
PGSC0003DMT400060787 25
PGSC0003DMT400060788 25
PGSC0003DMT400060792 25
PGSC0003DMT400062730 25
PGSC0003DMT400020048 25
PGSC0003DMT400028392 25
PGSC0003DMT400028382 25
PGSC0003DMT400036255 25
PGSC0003DMT400048264 25
PGSC0003DMT400054190 25
PGSC0003DMT400060528 25
PGSC0003DMT400060542 25
PGSC0003DMT400060784 25
PGSC0003DMT400087203 25
PGSC0003DMT400093058 25
PGSC0003DMT400028390 25
PGSC0003DMT400038840 25
PGSC0003DMT400060638 25
PGSC0003DMT400077881 25
PGSC0003DMT400096889 25
PGSC0003DMT400031549 25
PGSC0003DMT400036249 25
PGSC0003DMT400062601 25
PGSC0003DMT400086879 25
PGSC0003DMT400036257 25
PGSC0003DMT400085570 25
PGSC0003DMT400049012 25
PGSC0003DMT400060525 25
PGSC0003DMT400060532 25
PGSC0003DMT400090017 25
PGSC0003DMT400060630 25
PGSC0003DMT400096759 25
PGSC0003DMT400004911 32
PGSC0003DMT400011359 32
PGSC0003DMT400084816 32
PGSC0003DMT400085429 32
PGSC0003DMT400085975 32
PGSC0003DMT400086385 32
PGSC0003DMT400086888 32
PGSC0003DMT400088561 32
PGSC0003DMT400090244 32
PGSC0003DMT400091037 32
PGSC0003DMT400091225 32
PGSC0003DMT400091646 32
PGSC0003DMT400091995 32
PGSC0003DMT400092545 32
PGSC0003DMT400092829 32
PGSC0003DMT400093001 32
PGSC0003DMT400093142 32
PGSC0003DMT400093352 32
PGSC0003DMT400094072 32
PGSC0003DMT400095476 32
PGSC0003DMT400095490 32
PGSC0003DMT400096480 32
PGSC0003DMT400094310 32
PGSC0003DMT400097198 32
PGSC0003DMT400085956 32
PGSC0003DMT400089065 32
PGSC0003DMT400087690 32
PGSC0003DMT400088537 32
PGSC0003DMT400091636 32
PGSC0003DMT400092624 32
