geneName family
PGSC0003DMT400000129 15
PGSC0003DMT400000479 15
PGSC0003DMT400000572 15
PGSC0003DMT400000154 20
PGSC0003DMT400053793 20
PGSC0003DMT400000176 24
PGSC0003DMT400012781 24
PGSC0003DMT400032125 24
PGSC0003DMT400049953 24
PGSC0003DMT400000186 25
PGSC0003DMT400001912 25
PGSC0003DMT400020536 25
PGSC0003DMT400039850 25
PGSC0003DMT400062256 25
PGSC0003DMT400011731 25
PGSC0003DMT400044723 25
PGSC0003DMT400046983 25
PGSC0003DMT400080154 25
PGSC0003DMT400019290 25
PGSC0003DMT400037638 25
PGSC0003DMT400041343 25
PGSC0003DMT400037636 25
PGSC0003DMT400001024 25
PGSC0003DMT400001868 25
PGSC0003DMT400062758 25
PGSC0003DMT400006515 25
PGSC0003DMT400026193 25
PGSC0003DMT400045838 25
PGSC0003DMT400038554 25
PGSC0003DMT400040010 25
PGSC0003DMT400064597 25
PGSC0003DMT400002229 25
PGSC0003DMT400003582 25
PGSC0003DMT400005987 25
PGSC0003DMT400007503 25
PGSC0003DMT400011261 25
PGSC0003DMT400033828 25
PGSC0003DMT400035255 25
PGSC0003DMT400038068 25
PGSC0003DMT400045429 25
PGSC0003DMT400061697 25
PGSC0003DMT400071214 25
PGSC0003DMT400071701 25
PGSC0003DMT400079361 25
PGSC0003DMT400002280 25
PGSC0003DMT400023009 25
PGSC0003DMT400040626 25
PGSC0003DMT400049853 25
PGSC0003DMT400065801 25
PGSC0003DMT400071329 25
PGSC0003DMT400082362 25
PGSC0003DMT400095910 25
PGSC0003DMT400012413 25
PGSC0003DMT400011147 25
PGSC0003DMT400028591 25
PGSC0003DMT400048049 25
PGSC0003DMT400025864 25
PGSC0003DMT400045075 25
PGSC0003DMT400027429 25
PGSC0003DMT400086245 25
PGSC0003DMT400091500 25
PGSC0003DMT400058445 25
PGSC0003DMT400002807 25
PGSC0003DMT400016900 25
PGSC0003DMT400021929 25
PGSC0003DMT400025866 25
PGSC0003DMT400029366 25
PGSC0003DMT400031291 25
PGSC0003DMT400036145 25
PGSC0003DMT400037295 25
PGSC0003DMT400045344 25
PGSC0003DMT400045499 25
PGSC0003DMT400051759 25
PGSC0003DMT400065260 25
PGSC0003DMT400071735 25
PGSC0003DMT400052190 25
PGSC0003DMT400074579 25
PGSC0003DMT400060019 25
PGSC0003DMT400006390 25
PGSC0003DMT400045970 25
PGSC0003DMT400023349 25
PGSC0003DMT400025214 25
PGSC0003DMT400006664 25
PGSC0003DMT400024762 25
PGSC0003DMT400083900 25
PGSC0003DMT400011695 25
PGSC0003DMT400011940 25
PGSC0003DMT400029698 25
PGSC0003DMT400060941 25
PGSC0003DMT400067689 25
PGSC0003DMT400069958 25
PGSC0003DMT400044212 25
PGSC0003DMT400034411 25
PGSC0003DMT400011891 25
PGSC0003DMT400053083 25
PGSC0003DMT400012744 25
PGSC0003DMT400013077 25
PGSC0003DMT400016060 25
PGSC0003DMT400017573 25
PGSC0003DMT400020895 25
PGSC0003DMT400012809 25
PGSC0003DMT400032028 25
PGSC0003DMT400001781 25
PGSC0003DMT400057164 25
PGSC0003DMT400077689 25
PGSC0003DMT400049508 25
PGSC0003DMT400049512 25
PGSC0003DMT400021936 25
PGSC0003DMT400021983 25
PGSC0003DMT400067256 25
PGSC0003DMT400049053 25
PGSC0003DMT400021990 25
PGSC0003DMT400046231 25
PGSC0003DMT400046238 25
PGSC0003DMT400036023 25
PGSC0003DMT400036030 25
PGSC0003DMT400012612 25
PGSC0003DMT400049507 25
PGSC0003DMT400012606 25
PGSC0003DMT400012676 25
PGSC0003DMT400012679 25
PGSC0003DMT400049521 25
PGSC0003DMT400049621 25
PGSC0003DMT400005177 25
PGSC0003DMT400012950 25
PGSC0003DMT400012952 25
PGSC0003DMT400036038 25
PGSC0003DMT400036047 25
PGSC0003DMT400049531 25
PGSC0003DMT400012941 25
PGSC0003DMT400012948 25
PGSC0003DMT400086533 25
PGSC0003DMT400093832 25
PGSC0003DMT400058657 25
PGSC0003DMT400067255 25
PGSC0003DMT400067344 25
PGSC0003DMT400014669 25
PGSC0003DMT400067264 25
PGSC0003DMT400067346 25
PGSC0003DMT400078489 25
PGSC0003DMT400049617 25
PGSC0003DMT400056125 25
PGSC0003DMT400049532 25
PGSC0003DMT400049628 25
PGSC0003DMT400064346 25
PGSC0003DMT400049529 25
PGSC0003DMT400049533 25
PGSC0003DMT400075702 25
PGSC0003DMT400002736 25
PGSC0003DMT400005096 25
PGSC0003DMT400014530 25
PGSC0003DMT400024109 25
PGSC0003DMT400024108 25
PGSC0003DMT400029260 25
PGSC0003DMT400036051 25
PGSC0003DMT400039232 25
PGSC0003DMT400039237 25
PGSC0003DMT400039546 25
PGSC0003DMT400036055 25
PGSC0003DMT400057672 25
PGSC0003DMT400067266 25
PGSC0003DMT400008271 25
PGSC0003DMT400030924 25
PGSC0003DMT400087909 25
PGSC0003DMT400008273 25
PGSC0003DMT400048435 25
PGSC0003DMT400052650 25
PGSC0003DMT400073645 25
PGSC0003DMT400057334 25
PGSC0003DMT400041603 25
PGSC0003DMT400060605 25
PGSC0003DMT400064038 25
PGSC0003DMT400019757 25
PGSC0003DMT400083940 25
PGSC0003DMT400077443 25
PGSC0003DMT400077419 25
PGSC0003DMT400077423 25
PGSC0003DMT400077427 25
PGSC0003DMT400077438 25
PGSC0003DMT400077447 25
PGSC0003DMT400000956 25
PGSC0003DMT400079665 25
PGSC0003DMT400086270 25
PGSC0003DMT400089477 25
PGSC0003DMT400091158 25
PGSC0003DMT400000276 42
